timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773324205438,7,POST /api/students/subscribe,201,,50 Concurrent Students 1-13,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,7,0,4
1773324205460,8,POST /api/events,201,,50 Concurrent Students 1-17,text,true,,693,636,25,25,http://localhost:8080/api/events,8,0,0
1773324205460,13,POST /api/events,500,,50 Concurrent Students 1-2,text,false,,4846,634,25,25,http://localhost:8080/api/events,11,0,0
1773324205681,6,POST /api/students/subscribe,201,,50 Concurrent Students 1-14,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,5,0,0
1773324205946,5,POST /api/events,201,,50 Concurrent Students 1-13,text,true,,693,636,25,25,http://localhost:8080/api/events,5,0,0
1773324205969,3,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-17,text,true,,477,481,25,25,http://localhost:8080/api/events/evt-004/register,3,0,0
1773324205974,5,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-2,text,true,,476,481,25,25,http://localhost:8080/api/events/evt-001/register,5,0,2
1773324114157,91879,GET /api/events (all),200,,50 Concurrent Students 1-1,text,true,,155579,419,25,25,http://localhost:8080/api/events,91875,0,0
1773324206187,4,POST /api/events,201,,50 Concurrent Students 1-14,text,true,,694,636,25,25,http://localhost:8080/api/events,4,0,0
1773324206453,2,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-13,text,true,,477,481,25,25,http://localhost:8080/api/events/evt-005/register,2,0,0
1773324206692,27,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-14,text,true,,477,481,25,25,http://localhost:8080/api/events/evt-004/register,27,0,0
1773324206473,660,POST /api/auth/login,200,,50 Concurrent Students 1-17,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,660,0,0
1773324206480,655,POST /api/auth/login,200,,50 Concurrent Students 1-2,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,654,0,0
1773324146109,61234,GET /api/events (all),200,,50 Concurrent Students 1-21,text,true,,161063,419,25,25,http://localhost:8080/api/events,61232,0,0
1773324206958,618,POST /api/auth/login,200,,50 Concurrent Students 1-13,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,618,0,0
1773324207636,10,GET /api/events (all),200,,50 Concurrent Students 1-17,text,true,,161063,419,25,25,http://localhost:8080/api/events,9,0,0
1773324207636,10,GET /api/events (all),200,,50 Concurrent Students 1-2,text,true,,161063,419,25,25,http://localhost:8080/api/events,9,0,0
1773324126440,81394,GET /api/events (all),200,,50 Concurrent Students 1-10,text,true,,158145,419,25,25,http://localhost:8080/api/events,81393,0,0
1773324207844,9,GET /api/events?type=gaming,200,,50 Concurrent Students 1-21,text,true,,158145,430,25,25,http://localhost:8080/api/events?typegaming,8,0,3
1773324207222,665,POST /api/auth/login,200,,50 Concurrent Students 1-14,text,true,,729,522,25,25,http://localhost:8080/api/auth/login,665,0,0
1773324208077,4,GET /api/events (all),200,,50 Concurrent Students 1-13,text,true,,158145,419,25,25,http://localhost:8080/api/events,3,0,0
1773324208147,10,GET /api/events?type=gaming,200,,50 Concurrent Students 1-17,text,true,,158145,430,25,25,http://localhost:8080/api/events?typegaming,4,0,0
1773324208148,10,GET /api/events?type=gaming,200,,50 Concurrent Students 1-2,text,true,,158145,430,25,25,http://localhost:8080/api/events?typegaming,5,0,0
1773324208335,8,GET /api/events?type=gaming,200,,50 Concurrent Students 1-10,text,true,,158145,430,25,25,http://localhost:8080/api/events?typegaming,7,0,2
1773324208354,5,POST /api/students/subscribe,201,,50 Concurrent Students 1-21,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,5,0,0
1773324208388,6,GET /api/events (all),200,,50 Concurrent Students 1-14,text,true,,158145,419,25,25,http://localhost:8080/api/events,5,0,0
1773324208582,28,GET /api/events?type=gaming,200,,50 Concurrent Students 1-13,text,true,,158145,430,25,25,http://localhost:8080/api/events?typegaming,21,0,0
1773324208661,50,POST /api/students/subscribe,201,,50 Concurrent Students 1-17,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,50,0,0
1773324208660,52,POST /api/students/subscribe,201,,50 Concurrent Students 1-2,text,true,,450,532,25,25,http://localhost:8080/api/students/subscribe,52,0,0
1773324208843,102,POST /api/students/subscribe,201,,50 Concurrent Students 1-10,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,101,0,0
1773324208861,87,POST /api/events,201,,50 Concurrent Students 1-21,text,true,,693,636,25,25,http://localhost:8080/api/events,87,0,0
1773324208895,54,GET /api/events?type=gaming,200,,50 Concurrent Students 1-14,text,true,,158145,430,25,25,http://localhost:8080/api/events?typegaming,49,0,0
1773324209112,5,POST /api/students/subscribe,201,,50 Concurrent Students 1-13,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,5,0,0
1773324209212,16,POST /api/events,201,,50 Concurrent Students 1-17,text,true,,694,636,25,25,http://localhost:8080/api/events,16,0,0
1773324209213,34,POST /api/events,201,,50 Concurrent Students 1-2,text,true,,691,634,25,25,http://localhost:8080/api/events,34,0,0
1773324209445,9,POST /api/events,201,,50 Concurrent Students 1-10,text,true,,694,636,25,25,http://localhost:8080/api/events,9,0,0
1773324209450,5,POST /api/students/subscribe,201,,50 Concurrent Students 1-14,text,true,,452,534,25,25,http://localhost:8080/api/students/subscribe,5,0,0
1773324209449,6,POST /api/events/evt-002/register,409,,50 Concurrent Students 1-21,text,false,,399,481,25,25,http://localhost:8080/api/events/evt-002/register,6,0,0
1773324209618,5,POST /api/events,201,,50 Concurrent Students 1-13,text,true,,693,636,25,25,http://localhost:8080/api/events,5,0,0
1773324209730,11,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-17,text,true,,477,481,25,25,http://localhost:8080/api/events/evt-005/register,11,0,0
1773324209748,3,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-2,text,true,,477,481,25,25,http://localhost:8080/api/events/evt-004/register,3,0,0
1773324209955,5,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-10,text,true,,476,481,25,25,http://localhost:8080/api/events/evt-001/register,5,0,0
1773324209956,7,POST /api/events,201,,50 Concurrent Students 1-14,text,true,,694,636,25,25,http://localhost:8080/api/events,7,0,0
1773324210124,2,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-13,text,true,,476,481,25,25,http://localhost:8080/api/events/evt-001/register,2,0,0
1773324210465,5,POST /api/events/evt-002/register,200,,50 Concurrent Students 1-14,text,true,,477,481,25,25,http://localhost:8080/api/events/evt-005/register,5,0,0
